left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_upper_arm_angle,right_upper_arm_angle,left_forearm_angle,right_forearm_angle,left_elbow_bend,right_elbow_bend,label
0.4999629855155945,0.006087941583245993,-0.13752727210521698,-0.49996277689933777,-0.006087941583245993,0.13752727210521698,0.5815871357917786,1.3598377704620361,0.09626740962266922,-0.8905011415481567,1.0850485563278198,0.5349777936935425,0.6685126423835754,2.553480625152588,-0.7725019454956055,-1.2913367748260498,2.1008188724517822,-0.21696387231349945,3.4504640102386475,-19.693246841430664,4.165139198303223,-21.534809112548828,179.2839813232422,178.15780639648438,1
0.4995596408843994,0.02097952738404274,-0.17628289759159088,-0.4995596408843994,-0.02097952738404274,0.17628289759159088,0.5783994197845459,1.396248459815979,0.1337774395942688,-0.8894268274307251,1.0651055574417114,0.618043065071106,0.6527777314186096,2.5727925300598145,-0.5711368918418884,-1.3142216205596924,2.1191229820251465,-0.1498429775238037,3.280993700027466,-19.74639129638672,3.617288827896118,-21.950639724731445,179.66079711914062,177.7952880859375,1
0.4999086856842041,0.009553289972245693,-0.15890143811702728,-0.4999086856842041,-0.009553289972245693,0.15890143811702728,0.599007785320282,1.407509207725525,0.11581523716449738,-0.8874814510345459,1.1149693727493286,0.5342553853988647,0.6754181385040283,2.600829839706421,-0.6770845055580139,-1.3179585933685303,2.1483380794525146,-0.29619675874710083,4.054832458496094,-19.016786575317383,3.6637470722198486,-22.61546516418457,179.60733032226562,176.40101623535156,1
0.4992408752441406,0.02753933146595955,-0.16273804008960724,-0.49924105405807495,-0.02753933146595955,0.1627381294965744,0.5737965703010559,1.3913755416870117,0.04101743921637535,-0.8849579095840454,1.0854287147521973,0.5385342240333557,0.6530025601387024,2.574738025665283,-0.8041810989379883,-1.2923165559768677,2.133173704147339,-0.26713827252388,3.1290252208709717,-19.114572525024414,3.829267978668213,-21.245864868164062,179.29861450195312,177.8682403564453,1
0.4991149306297302,0.029735883697867393,-0.20481546223163605,-0.4991149306297302,-0.029735883697867393,0.20481546223163605,0.5730201005935669,1.3802984952926636,-0.021645843982696533,-0.8718817830085754,1.0962519645690918,0.5555636286735535,0.655630350112915,2.5839221477508545,-0.8056720495223999,-1.2641228437423706,2.131408929824829,-0.2837657332420349,3.1322033405303955,-18.317516326904297,3.9263157844543457,-20.752668380737305,179.20474243164062,177.56431579589844,1
0.4994153678417206,0.024172689765691757,-0.16031739115715027,-0.49941518902778625,-0.024172689765691757,0.16031749546527863,0.5776353478431702,1.3817731142044067,0.018674243241548538,-0.864109218120575,1.1135430335998535,0.5117960572242737,0.6517728567123413,2.5872812271118164,-0.843677282333374,-1.2456581592559814,2.1422953605651855,-0.2820015251636505,3.2975265979766846,-17.773218154907227,3.5192015171051025,-20.34906768798828,179.77357482910156,177.42388916015625,1
0.49970945715904236,0.017039231956005096,-0.20355384051799774,-0.4997096657752991,-0.017039231956005096,0.2035539448261261,0.586657702922821,1.3657554388046265,0.038839858025312424,-0.8789148330688477,1.1092519760131836,0.6319957375526428,0.6509777307510376,2.6011695861816406,-0.6096539497375488,-1.2807962894439697,2.1307737827301025,-0.055828966200351715,3.6886062622070312,-18.60759735107422,2.980330228805542,-21.475393295288086,179.29002380371094,177.13192749023438,1
0.49938905239105225,0.024708619341254234,-0.22683173418045044,-0.49938905239105225,-0.024708619341254234,0.22683173418045044,0.5756241679191589,1.382476568222046,-0.07270196080207825,-0.8757596015930176,1.0975311994552612,0.6284538507461548,0.640148937702179,2.5956883430480957,-0.8929790258407593,-1.3030413389205933,2.1173739433288574,-0.15045347809791565,3.2136335372924805,-18.540136337280273,3.0444111824035645,-22.732135772705078,179.8252716064453,175.80772399902344,1
0.49893102049827576,0.03267836943268776,-0.16935300827026367,-0.49893084168434143,-0.03267836943268776,0.16935300827026367,0.5680750012397766,1.3824975490570068,0.043143849819898605,-0.880010724067688,1.077365756034851,0.5614043474197388,0.638389527797699,2.591439723968506,-0.7371587157249451,-1.2863129377365112,2.111469030380249,-0.17561140656471252,2.9323911666870117,-18.947425842285156,3.328688859939575,-21.45001220703125,179.60040283203125,177.4969482421875,1
0.49900832772254944,0.03147352859377861,-0.1713513731956482,-0.49900850653648376,-0.03147352859377861,0.17135146260261536,0.575354278087616,1.406641960144043,0.10996804386377335,-0.8741477131843567,1.103186011314392,0.5755796432495117,0.6406852006912231,2.610279083251953,-0.6066085696220398,-1.2969661951065063,2.1208009719848633,-0.18409979343414307,3.177659511566162,-18.294830322265625,3.1068451404571533,-22.562862396240234,179.92086791992188,175.73170471191406,1
