,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,train_secs_mean,train_secs_std,latency_ms_mean,latency_ms_std,model_size_kb_mean,model_size_kb_std
DNN,0.998345424462263,0.0005010823389341975,0.9980981117428976,0.000687705979407219,50.26740058263143,11.67642214044448,8.023041066655423,0.1556874883011535,58.10546875,0.0
RandomForest,0.9987272495863562,0.0010948613041927545,0.9985588056503855,0.0012983150352043578,5.314549446105957,0.1630474417160814,47.44733873333704,0.2162709532493006,47165.501627604164,422.07067864173797
LSTM,0.9996415770609319,0.000506886581495743,0.9994896370809282,0.0007217621618836168,19.35309410095215,6.5169576168406,26.86571296667292,1.0758949727698996,101.10546875,0.0
